iter	Logloss	Accuracy
588	0.1213550114	0.9647900763
589	0.1212296811	0.9646946565
590	0.1211441107	0.9646946565
591	0.1210646032	0.9646946565
592	0.1209245131	0.9647900763
593	0.1208192723	0.9648854962
594	0.1207533358	0.9648854962
595	0.1206853162	0.964980916
596	0.1205484646	0.9648854962
597	0.1205019909	0.964980916
598	0.12036113	0.9652671756
599	0.1202635375	0.9651717557
600	0.1201714753	0.9651717557
601	0.1200884366	0.9652671756
602	0.1199783437	0.9650763359
603	0.1198874872	0.9650763359
604	0.1197148074	0.9652671756
605	0.1196911579	0.9652671756
606	0.1195743235	0.9652671756
607	0.1194714022	0.9652671756
608	0.1193195134	0.9653625954
609	0.1192626998	0.9654580153
610	0.1191591677	0.9655534351
611	0.1190327905	0.9657442748
612	0.11897282	0.9659351145
613	0.118834002	0.9658396947
614	0.1187221845	0.9658396947
615	0.1186106203	0.9659351145
616	0.1184820746	0.9658396947
617	0.1184282117	0.9658396947
618	0.1182678478	0.9658396947
619	0.1180763809	0.9658396947
620	0.1179235966	0.9658396947
621	0.117794589	0.966221374
622	0.1176387169	0.9664122137
623	0.1175158441	0.9664122137
624	0.1174429745	0.9664122137
625	0.1173050114	0.9664122137
626	0.1171594106	0.9666030534
627	0.1171403701	0.9666984733
628	0.1170350334	0.966889313
629	0.1168937902	0.9667938931
630	0.116761195	0.966889313
631	0.1166611142	0.966889313
632	0.1165588588	0.9669847328
633	0.1163989607	0.9669847328
634	0.1162624993	0.9670801527
635	0.1161078305	0.9672709924
636	0.1160297013	0.9672709924
637	0.1159537528	0.9670801527
638	0.1158909641	0.9671755725
639	0.1158089265	0.9672709924
640	0.115769367	0.9671755725
641	0.1156464809	0.9671755725
642	0.1153876142	0.9672709924
643	0.1152783558	0.9674618321
644	0.1151995794	0.9674618321
645	0.115063853	0.9675572519
646	0.11498893	0.9676526718
647	0.1148819151	0.9675572519
648	0.1148084188	0.9675572519
649	0.1147218284	0.9676526718
650	0.1146439426	0.9679389313
651	0.1145304966	0.9679389313
652	0.1144315591	0.9679389313
653	0.1144050384	0.9679389313
654	0.1142722871	0.9679389313
655	0.1141796176	0.9679389313
656	0.1140779133	0.9679389313
657	0.1140602177	0.9679389313
658	0.1140201039	0.9680343511
659	0.1139086467	0.9682251908
660	0.1137420514	0.968129771
661	0.1136721805	0.9682251908
662	0.1134943735	0.9683206107
663	0.113349766	0.9684160305
664	0.1132826472	0.9684160305
665	0.1130767718	0.9685114504
666	0.1129358806	0.9685114504
667	0.1128445294	0.9685114504
668	0.1127259457	0.9684160305
669	0.1126000337	0.9687022901
670	0.1124110184	0.9686068702
671	0.1123360067	0.9684160305
672	0.1121507729	0.9683206107
673	0.1120424678	0.9684160305
674	0.1118966514	0.9683206107
675	0.1118170265	0.9685114504
676	0.1117337018	0.9685114504
677	0.1116675378	0.9686068702
678	0.1116450242	0.9686068702
679	0.1115657331	0.9687022901
680	0.1115000667	0.9687022901
681	0.1112711468	0.9688931298
682	0.1112020149	0.9689885496
683	0.1111001909	0.9689885496
684	0.110968365	0.9690839695
685	0.1108799426	0.9691793893
686	0.1108051422	0.9691793893
687	0.1106712467	0.9691793893
688	0.1105742663	0.969370229
689	0.1104871337	0.969370229
690	0.1104610849	0.969370229
691	0.1103230397	0.9694656489
692	0.1102368721	0.9696564885
693	0.1101124892	0.9696564885
694	0.1099444922	0.9698473282
695	0.1098346712	0.9700381679
696	0.1097289266	0.9702290076
697	0.1096765187	0.9699427481
698	0.109566849	0.9700381679
699	0.1094596596	0.9704198473
700	0.109339852	0.9705152672
701	0.1091889088	0.9703244275
702	0.1091365713	0.9703244275
703	0.1089505269	0.9704198473
704	0.1088141864	0.9708015267
705	0.1087306421	0.9708969466
706	0.1086115654	0.9707061069
707	0.1085716584	0.9708969466
708	0.1084311706	0.9708015267
709	0.1083989236	0.9708969466
710	0.1083407239	0.9708969466
711	0.108187878	0.9709923664
712	0.1081085943	0.9710877863
713	0.1080644793	0.9710877863
714	0.1080017723	0.9711832061
715	0.1078343072	0.9711832061
716	0.1077514844	0.9711832061
